ID,Country,Name,Longitude,Latitude,Designation,Legal/Formal Instrument,Designation Type,Date Established,Domain,Status,Reported Area_ha,Reported Marine Area_ha,Management Plan,IUCN Management Categories,International Convention,State/Province/District,Management Effectiveness Model,Management Effectiveness Rating,Zonation,No Take,Reported No Take Area (ha),Source
4001000,Philippines,Selinog Island Protected Landscape and Seascape,123.4169,8.854722,Protected Landscape and Seascape - NIPAS,"Proclamation No 272, and Republic Act 7586 otherwise known as ôNIPAS Act of 1992ö",National,4/23/2000,Marine-Terrestrial,Designated,2254.63,0,Unknown,V,No,Zamboanga Norte,MEAT,Established,Yes,Part,960.27,CCEF
4034400,Philippines,Siargao Protected Landscape and Seascape,126.01,9.72,Protected Landscape and Seascape - NIPAS,"Proclamation No 962, and Republic Act 7586 otherwise known as ôNIPAS Act of 1992ö",National,10/10/1996,Marine-Terrestrial,Designated,278914.13,0,Unknown,Unknown,No,Surigao Del Norte,Unknown,Unknown,No,Unknown,0,PAWB
4029200,Philippines,Siete Pecados Marine Park,120.228333,11.9875,Marine Park - Local,,Local,1/1/2005,Marine,Designated,52,0,Unknown,Unknown,No,Palawan,Unknown,Unknown,Unknown,Unknown,0,CCEF
4009500,Philippines,Sillon Marine Sanctuary,123.774458,11.208946,Marine Sanctuary - Local,,Local,1/1/2006,Marine,Designated,15.36,0,Yes,Unknown,No,Cebu,MEAT,Sustained,Unknown,All,15.36,CCEF
4032100,Philippines,Sinandigan Marine Sanctuary,124.556049,10.026282,Marine Sanctuary - Local,Mun. Ord. No. 07 Series,Local,1/1/2004,Marine,Designated,51.68,0,Yes,Unknown,No,Bohol,MEAT,Sustained,Unknown,All,51.68,CCEF
4062000,Philippines,Sinisian Marine Protected Area,120.855877,13.902528,Marine Protected Area - Local,,Local,1/1/2010,Marine,Designated,0,0,Unknown,Unknown,No,Batangas,Unknown,Unknown,Unknown,Unknown,0,MSN-MSI
4018100,Philippines,Siocon Marine Sanctuary,124.041761,11.028964,Marine Sanctuary - Local,,Local,1/1/2003,Marine,Designated,12.6,0,Yes,Unknown,No,Cebu,MEAT,Sustained,Unknown,All,12.6,CCEF
4054800,Philippines,Sitio Dongon Marine Sanctuary,125.213249,5.858466,Marine Sanctuary - Local,,Local,1/1/2001,Marine,Designated,0,0,Unknown,Unknown,No,Saranggani,Unknown,Unknown,Unknown,All,0,CCEF
4054900,Philippines,Sitio Kibila Marien Sanctuary,124.817144,9.110989,Marine Sanctuary - Local,,Local,1/1/2002,Marine,Designated,4,0,Yes,Unknown,No,Camiguin,MEAT,Sustained,Unknown,All,4,CCEF
4055000,Philippines,Sitio Tulan Marine Sanctuary,125.21138,5.763179,Marine Sanctuary - Local,,Local,3/5/1996,Marine,Designated,0,0,Unknown,Unknown,No,Saranggani,Unknown,Unknown,Unknown,All,0,CCEF
4055100,Philippines,Son- ok Fish Sanctuary,125.247277,9.91984,Fish Sanctuary - Local,,Local,1/1/1995,Marine,Designated,30,0,Draft,Unknown,No,Southern Leyte,MEAT,Strenghtened,Unknown,All,30,CCEF
4055200,Philippines,Sondol Fish Sanctuary,123.793657,9.808477,Fish Sanctuary - Local,,Local,1/1/1999,Marine,Designated,10,0,Yes,Unknown,No,Bohol,MEAT,Sustained,Unknown,All,10,CCEF
4055300,Philippines,Song-On Fish Refuge and Sanctuary,123.79823,9.818875,Marine Sanctuary - Local,Mun. Ord. No. 011 Series 1999; Mun. Ord. No. 02-007 Series 2002,Local,1/1/1999,Marine,Designated,15.99,0,Yes,Unknown,No,Bohol,MEAT,Sustained,No,All,15.99,CCEF
4055400,Philippines,South Lipayo Marine Reserve,123.250729,9.169451,Marine Reserve - Local,,Local,1/1/2005,Marine,Designated,8.2,0,Unknown,Unknown,No,Negros Oriental,MEAT,Established,Unknown,Unknown,0,CCEF
4055500,Philippines,Sta. Ana Fish Sanctuary,120.669459,13.807516,Fish Sanctuary - Local,,Local,1/1/1998,Marine,Designated,2,0,Unknown,Unknown,No,Batangas,MEAT,Strenghtened,Unknown,All,2,CCEF
4002600,Philippines,Sta. Cruz Marine Sanctuary,123.404472,10.021944,Marine Sanctuary - Local,,Local,1/1/2002,Marine,Designated,12.01,0,Draft,VI,No,Cebu,MEAT,Established,Unknown,All,12.01,CCEF
4020400,Philippines,Sta. Cruz Seagrass Sanctuary,123.863792,9.905511,Seagrass Sanctuary - Local,Mun. Ord. No. 7 Series 2003,Local,1/1/2002,Marine,Designated,67.72,0,Draft,VI,No,Bohol,MEAT,Strenghtened,Unknown,All,67.72,CCEF
4016900,Philippines,Sta. Filomena (Sta. Fe) Marine Sanctuary,123.971081,9.59927,Marine Sanctuary - Local,Mun. Ord. No. 05 Series 2002; Mun. Ord. No. 6 Series 2001,Local,1/1/2001,Marine,Designated,11,0,Yes,VI,No,Bohol,MEAT,Sustained,Unknown,All,11,CCEF
4003200,Philippines,Sta. Filomena Marine Sanctuary,123.34079,9.753584,Marine Sanctuary - Local,,Local,1/1/1994,Marine,Designated,5.62,0,Yes,VI,No,Cebu,MEAT,Strenghtened,Unknown,All,5.62,CCEF
4019500,Philippines,Sto. Ni±o (Inabanga) Seagrass Sanctuary,124.065361,10.076056,Seagrass Sanctuary - Local,Mun. Ord. No. 21 Series 2000,Local,1/1/2000,Marine,Designated,10,0,Yes,VI,No,Bohol,MEAT,Sustained,Unknown,All,10,CCEF
4003300,Philippines,Sto. Ni±o (Malabuyoc Municipality) Marine Sanctuary,123.322695,9.634962,Marine Sanctuary - Local,,Local,1/1/1998,Marine,Designated,14.18,0,Unknown,Unknown,No,Cebu,MEAT,Strenghtened,Unknown,All,14.18,CCEF
4032800,Philippines,Sto. Ni±o (Talibon Municipality) Marine Sanctuary,124.27796,10.171802,Marine Sanctuary - Local,,Local,1/1/2000,Marine,Designated,7.1,0,Unknown,Unknown,No,Bohol,Unknown,Unknown,Unknown,All,7.1,CCEF
